,ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,City,Day,Month,Revenue
28,29,Headphones,Electronics,406.66,2.4,1734,819,0.47,1959,2024-02-05,Providence,Monday,February,422222.87820000004
29,30,Headphones,Electronics,469.0,1.6,4061,297,0.13,1787,2024-01-20,Buffalo,Saturday,January,729149.61
30,31,Laptop,Electronics,491.26,3.1,4976,1,0.5,253,2024-01-24,San Antonio,Wednesday,January,62144.39
31,32,Smartphone,Electronics,451.2,3.5,2056,232,0.17,815,2023-11-17,Bronx,Friday,November,305214.24
32,33,Headphones,Electronics,429.6,2.6,1696,919,0.43,1648,2024-02-29,Buffalo,Thursday,February,403549.05600000004
33,34,Smartwatch,Electronics,294.54,2.5,98,152,0.0,1919,2023-07-10,Tulsa,Monday,July,565222.26
34,35,Laptop,Electronics,349.03,3.6,4067,160,0.01,397,2023-09-09,Toledo,Saturday,September,137179.2609
35,36,Smartwatch,Electronics,375.78,3.6,1218,400,0.15,687,2024-05-21,Seattle,Tuesday,May,219436.73099999997
36,37,Laptop,Electronics,299.04,4.9,562,437,0.45,26,2023-10-30,Virginia Beach,Monday,October,4276.272
37,38,Smartphone,Electronics,256.29,3.3,959,480,0.1,1852,2023-08-13,Charlotte,Sunday,August,427184.172
38,39,Headphones,Electronics,290.28,4.1,16,171,0.47,476,2024-04-27,New York,Saturday,April,73231.8384
39,40,Smartphone,Electronics,442.91,4.0,1060,279,0.17,301,2023-12-14,Cleveland,Thursday,December,110652.20530000002
40,41,Jacket,Clothing,482.17,4.4,190,252,0.19,1184,2023-09-30,Harrisburg,Saturday,September,462420.31680000003
41,42,Jacket,Clothing,93.05,3.2,569,322,0.29,1815,2024-02-19,Portland,Monday,February,119908.8825
42,43,Sweater,Clothing,338.86,2.4,154,489,0.44,784,2024-02-29,Spokane,Thursday,February,148773.0944
43,44,T-Shirt,Clothing,76.94,3.8,2806,537,0.41,920,2024-05-30,Ogden,Thursday,May,41763.032
44,45,Sweater,Clothing,260.56,3.0,4780,19,0.32,511,2024-01-22,San Juan,Monday,January,90539.3888
45,46,Sweater,Clothing,444.44,1.1,4929,799,0.29,853,2024-04-22,Grand Rapids,Monday,April,269166.19720000005
46,47,T-Shirt,Clothing,85.97,4.9,1715,681,0.41,1077,2024-03-03,Wichita,Sunday,March,54627.917100000006
47,48,T-Shirt,Clothing,415.66,2.1,4,102,0.04,876,2023-06-28,Las Vegas,Wednesday,June,349553.43360000005
48,49,Jacket,Clothing,352.76,1.6,4364,369,0.26,1693,2024-01-17,St. Louis,Wednesday,January,441944.7832
49,50,T-Shirt,Clothing,205.42,2.7,1369,740,0.09,1853,2023-09-07,Memphis,Thursday,September,346385.3666
50,51,Jacket,Clothing,351.03,2.6,1081,633,0.08,801,2024-03-08,Albany,Friday,March,258681.02759999997
51,52,Jeans,Clothing,56.0,1.7,4992,271,0.26,703,2024-04-04,Knoxville,Thursday,April,29132.32
52,53,Jeans,Clothing,367.72,1.2,4249,655,0.08,1109,2023-12-10,San Francisco,Sunday,December,375177.36160000006
53,54,T-Shirt,Clothing,66.88,1.2,2141,749,0.49,452,2023-11-21,Louisville,Tuesday,November,15417.177599999997
54,55,Sweater,Clothing,57.94,3.0,4646,611,0.09,1757,2023-06-21,Buffalo,Wednesday,June,92638.5278
55,56,Jacket,Clothing,33.55,4.8,2849,179,0.19,761,2024-01-17,Hartford,Wednesday,January,20680.5555
56,57,Jeans,Clothing,255.51,3.2,4611,15,0.04,1782,2023-09-28,San Diego,Thursday,September,437106.0672
57,58,T-Shirt,Clothing,434.93,3.5,851,663,0.34,1698,2024-05-10,Minneapolis,Friday,May,487417.35240000003
58,59,T-Shirt,Clothing,407.49,4.3,3913,42,0.1,396,2024-05-31,Palm Bay,Friday,May,145229.436
59,60,Jacket,Clothing,194.86,1.2,753,34,0.17,89,2023-09-22,San Jose,Friday,September,14394.3082
60,61,T-Shirt,Clothing,423.99,1.1,417,114,0.14,1219,2023-08-03,Toledo,Thursday,August,444485.6766
61,62,T-Shirt,Clothing,180.68,4.7,728,276,0.48,675,2023-06-21,Dallas,Wednesday,June,63418.68000000001
62,63,T-Shirt,Clothing,288.57,3.3,1122,547,0.19,95,2024-01-12,Boise,Friday,January,22205.461499999998
63,64,Jacket,Clothing,466.07,4.4,3440,694,0.38,216,2023-06-23,Albuquerque,Friday,June,62416.094399999994
64,65,T-Shirt,Clothing,195.09,3.1,595,879,0.19,396,2023-12-08,Louisville,Friday,December,62577.0684
65,66,Jacket,Clothing,200.71,1.0,4171,264,0.16,717,2023-11-02,San Jose,Thursday,November,120883.61880000001
66,67,Sweater,Clothing,246.44,3.0,143,884,0.05,395,2024-05-18,Kansas City,Saturday,May,92476.61
67,68,Sweater,Clothing,339.53,4.0,3222,143,0.39,108,2023-12-14,San Francisco,Thursday,December,22368.236399999998
68,69,Jeans,Clothing,487.38,5.0,4729,132,0.37,732,2023-10-21,Los Angeles,Saturday,October,224760.16079999998
69,70,Jacket,Clothing,67.36,1.6,953,491,0.43,1253,2024-06-05,Staten Island,Wednesday,June,48109.185600000004
70,71,Jeans,Clothing,353.47,1.3,2993,794,0.35,1540,2024-05-14,Chicago,Tuesday,May,353823.4700000001
71,72,T-Shirt,Clothing,124.28,3.3,1388,832,0.44,1680,2023-07-21,Atlanta,Friday,July,116922.624
72,73,T-Shirt,Clothing,300.03,2.4,3486,786,0.39,1205,2023-12-28,Louisville,Thursday,December,220537.05149999997
73,74,Jacket,Clothing,131.87,2.3,3522,172,0.01,1243,2024-02-07,Omaha,Wednesday,February,162275.2659
74,75,Jeans,Clothing,373.08,4.1,894,360,0.37,386,2023-06-30,Salt Lake City,Friday,June,90725.5944
75,76,Jeans,Clothing,206.11,2.9,823,928,0.11,133,2024-04-15,New Orleans,Monday,April,24397.240700000002
76,77,Sweater,Clothing,489.17,3.2,4910,148,0.02,1236,2023-11-22,Denver,Wednesday,November,592521.8376000001
77,78,Sweater,Clothing,46.16,3.2,3512,401,0.08,1328,2024-05-29,Pittsburgh,Wednesday,May,56396.4416
78,79,Jacket,Clothing,232.73,3.5,3330,655,0.37,970,2024-05-31,Palm Bay,Friday,May,142221.303
79,80,Jeans,Clothing,475.7,4.6,3019,407,0.31,1031,2024-02-11,Providence,Sunday,February,338408.223
80,81,Coffee Maker,Home & Kitchen,326.96,2.6,539,731,0.18,739,2023-12-03,Des Moines,Sunday,December,198131.22079999998
81,82,Microwave,Home & Kitchen,352.1,3.1,2508,731,0.14,908,2024-04-27,Spokane,Saturday,April,274947.84800000006
82,83,Microwave,Home & Kitchen,413.04,4.8,255,708,0.31,449,2024-06-02,Bronx,Sunday,June,127963.92240000001
83,84,Coffee Maker,Home & Kitchen,439.56,3.2,1015,800,0.39,145,2023-11-01,Mesa,Wednesday,November,38879.082
84,85,Microwave,Home & Kitchen,83.7,3.4,4158,216,0.48,794,2023-12-18,Akron,Monday,December,34558.056000000004
85,86,Blender,Home & Kitchen,41.12,1.1,510,384,0.01,822,2024-06-06,Grand Rapids,Thursday,June,33462.633599999994
86,87,Coffee Maker,Home & Kitchen,408.32,5.0,1460,22,0.38,676,2023-11-23,Madison,Thursday,November,171135.0784
87,88,Toaster,Home & Kitchen,195.15,2.0,2048,50,0.14,1795,2023-08-29,Fort Worth,Tuesday,August,301253.055
88,89,Toaster,Home & Kitchen,185.5,1.5,249,673,0.24,770,2023-08-11,Grand Rapids,Friday,August,108554.60000000002
89,90,Coffee Maker,Home & Kitchen,410.03,4.9,3037,733,0.4,400,2024-02-21,Tulsa,Wednesday,February,98407.19999999998
90,91,Microwave,Home & Kitchen,24.1,4.0,3981,577,0.4,102,2023-12-03,Omaha,Sunday,December,1474.92
91,92,Coffee Maker,Home & Kitchen,490.43,3.4,1358,858,0.05,1331,2023-10-07,San Francisco,Saturday,October,620124.2135
92,93,Toaster,Home & Kitchen,230.95,4.6,4637,758,0.26,80,2024-01-31,Portland,Wednesday,January,13672.24
93,94,Blender,Home & Kitchen,82.07,4.7,2832,507,0.03,68,2024-05-09,El Paso,Thursday,May,5413.3372
94,95,Toaster,Home & Kitchen,251.38,2.3,3818,42,0.12,1906,2024-02-22,Houston,Thursday,February,421634.6464
95,96,Blender,Home & Kitchen,235.46,3.3,3445,911,0.32,359,2023-12-11,Houston,Monday,December,57480.4952
96,97,Blender,Home & Kitchen,449.43,2.9,4188,671,0.09,633,2024-04-22,Concord,Monday,April,258885.16290000002
97,98,Microwave,Home & Kitchen,412.68,2.4,4777,828,0.02,837,2024-06-11,Charlotte,Tuesday,June,338504.8968
98,99,Blender,Home & Kitchen,235.78,1.8,2593,944,0.25,1836,2024-03-31,Pittsburgh,Sunday,March,324669.06
99,100,Toaster,Home & Kitchen,401.71,3.5,2286,55,0.44,830,2024-04-25,Los Angeles,Thursday,April,186714.808
100,101,Blender,Home & Kitchen,11.27,4.5,2055,624,0.3,1715,2023-11-18,Tucson,Saturday,November,13529.634999999998
101,102,Microwave,Home & Kitchen,191.53,2.9,4569,27,0.18,1239,2024-01-10,Washington,Wednesday,January,194590.6494
102,103,Toaster,Home & Kitchen,82.39,1.5,1646,918,0.26,1774,2023-09-12,San Diego,Tuesday,September,108158.29639999999
103,104,Toaster,Home & Kitchen,183.53,2.6,4580,27,0.01,1976,2023-09-13,Tulsa,Wednesday,September,359028.7272
104,105,Microwave,Home & Kitchen,53.71,3.1,4632,144,0.17,24,2024-04-05,Boston,Friday,April,1069.9032000000002
105,106,Toaster,Home & Kitchen,396.69,3.0,2158,227,0.27,33,2024-02-22,Madison,Thursday,February,9556.2621
106,107,Coffee Maker,Home & Kitchen,297.4,3.3,2472,612,0.18,1305,2023-07-28,Detroit,Friday,July,318247.74
107,108,Toaster,Home & Kitchen,129.73,3.0,3812,376,0.12,661,2023-09-09,Oklahoma City,Saturday,September,75461.3464
108,109,Toaster,Home & Kitchen,189.02,3.0,3421,842,0.04,349,2024-03-09,Fort Worth,Saturday,March,63329.260800000004
109,110,Coffee Maker,Home & Kitchen,449.42,1.3,242,542,0.21,547,2023-11-02,New York,Thursday,November,194207.8646
110,111,Toaster,Home & Kitchen,204.95,4.9,3,846,0.41,880,2024-03-10,Baltimore,Sunday,March,106410.04000000001
111,112,Coffee Maker,Home & Kitchen,364.22,4.3,4289,846,0.27,1049,2023-12-22,Tucson,Friday,December,278908.74940000003
112,113,Coffee Maker,Home & Kitchen,110.49,4.9,1810,723,0.25,112,2024-01-24,Columbia,Wednesday,January,9281.16
113,114,Microwave,Home & Kitchen,356.54,4.1,1573,804,0.25,1534,2023-06-22,Albany,Thursday,June,410199.27
114,115,Blender,Home & Kitchen,270.97,1.2,4785,9,0.27,1673,2023-12-23,Allentown,Saturday,December,330932.9513
115,116,Toaster,Home & Kitchen,167.95,4.2,320,318,0.34,784,2023-09-21,Grand Rapids,Thursday,September,86904.04799999998
116,117,Microwave,Home & Kitchen,241.85,3.4,3490,605,0.05,1604,2023-07-30,Phoenix,Sunday,July,368531.02999999997
117,118,Coffee Maker,Home & Kitchen,482.86,1.5,375,458,0.47,587,2024-05-08,Albany,Wednesday,May,150222.57460000002
118,119,Blender,Home & Kitchen,373.15,3.3,3850,872,0.38,1851,2023-08-31,Madison,Thursday,August,428234.403
119,120,Microwave,Home & Kitchen,90.49,4.3,77,409,0.45,600,2023-10-19,Orlando,Thursday,October,29861.699999999997
120,121,Biography,Books,202.3,4.3,1318,615,0.19,1714,2024-02-08,Denver,Thursday,February,280861.182
121,122,Biography,Books,274.49,2.8,992,664,0.18,1006,2023-08-08,Sacramento,Tuesday,August,226432.29080000002
122,123,Fantasy Book,Books,122.22,3.2,197,645,0.17,1202,2024-05-01,Port St. Lucie,Wednesday,May,121934.0052
123,124,Fantasy Book,Books,91.7,4.5,2035,477,0.45,419,2024-01-07,Pittsburgh,Sunday,January,21132.265
124,125,Biography,Books,378.68,3.8,950,288,0.02,597,2023-07-26,Staten Island,Wednesday,July,221550.5208
125,126,Biography,Books,252.05,4.0,2853,908,0.06,227,2023-11-09,Chicago,Thursday,November,53782.429000000004
126,127,Fantasy Book,Books,204.67,4.2,3228,46,0.2,1708,2024-02-03,Charlotte,Saturday,February,279661.088
127,128,Science Book,Books,324.16,3.8,793,810,0.3,1683,2024-06-01,Des Moines,Saturday,June,381892.89600000007
128,129,Biography,Books,455.14,3.3,4807,22,0.23,301,2023-06-15,San Francisco,Thursday,June,105487.7978
129,130,Fantasy Book,Books,456.81,1.6,3281,984,0.13,1639,2023-08-01,Fort Worth,Tuesday,August,651379.0833
130,131,Science Book,Books,466.74,3.3,2935,804,0.35,1129,2024-03-12,Tulsa,Tuesday,March,342517.14900000003
131,132,Science Book,Books,307.29,2.7,3533,295,0.42,778,2023-09-29,Manhattan,Friday,September,138661.53960000002
132,133,Biography,Books,125.59,1.7,1205,982,0.46,1854,2024-04-18,St. Louis,Thursday,April,125735.68440000001
133,134,Science Book,Books,299.72,2.6,1332,136,0.1,312,2024-02-16,Portland,Friday,February,84161.37600000002
134,135,Biography,Books,173.41,2.6,536,601,0.46,385,2023-11-15,Port St. Lucie,Wednesday,November,36051.939
135,136,Science Book,Books,371.38,2.8,954,875,0.46,1205,2024-01-12,Fresno,Friday,January,241656.966
136,137,Novel,Books,254.2,2.7,4380,62,0.14,665,2024-01-08,Denton,Monday,January,145376.98
137,138,Biography,Books,335.13,1.7,3432,688,0.28,341,2024-04-10,Boise,Wednesday,April,82281.11759999998
138,139,Novel,Books,100.39,2.2,1759,140,0.2,434,2023-11-14,Chicago,Tuesday,November,34855.407999999996
139,140,Biography,Books,110.52,1.8,4524,476,0.24,1447,2024-05-24,Charlotte,Friday,May,121541.0544
140,141,Biography,Books,154.08,3.9,3057,193,0.27,1136,2024-02-19,Bronx,Monday,February,127775.4624
141,142,Biography,Books,284.22,1.6,3335,924,0.04,1666,2023-08-29,Denver,Tuesday,August,454570.0992
142,143,Biography,Books,142.66,3.6,3451,992,0.01,1499,2023-08-29,Los Angeles,Tuesday,August,211708.86659999998
143,144,Biography,Books,434.83,2.6,4408,758,0.13,442,2023-10-01,Detroit,Sunday,October,167209.5282
144,145,Novel,Books,301.57,2.4,3300,578,0.44,1627,2023-09-22,Louisville,Friday,September,274766.4584
145,146,Biography,Books,404.6,5.0,1311,119,0.4,1935,2023-12-30,New York,Saturday,December,469740.6
146,147,Biography,Books,110.44,2.2,943,977,0.01,774,2024-01-03,Port St. Lucie,Wednesday,January,84625.7544
147,148,Science Book,Books,425.58,1.5,914,547,0.32,81,2024-06-10,Little Rock,Monday,June,23440.9464
148,149,Novel,Books,410.55,2.4,4841,385,0.18,1142,2024-05-23,Little Rock,Thursday,May,384455.44200000004
149,150,Novel,Books,179.14,4.1,3577,853,0.39,592,2023-11-23,Jacksonville,Thursday,November,64691.036799999994
150,151,Biography,Books,248.84,4.6,4223,735,0.21,1138,2023-11-16,Wichita,Thursday,November,223712.13679999998
151,152,Biography,Books,373.43,3.8,1304,358,0.11,1301,2023-10-21,Orlando,Saturday,October,432390.86270000006
152,153,Biography,Books,492.36,3.1,3180,609,0.14,74,2023-07-22,Los Angeles,Saturday,July,31333.790399999998
153,154,Biography,Books,269.53,4.3,40,933,0.03,1700,2024-01-11,Port St. Lucie,Thursday,January,444454.97
154,155,Biography,Books,416.57,1.8,341,980,0.13,1310,2024-01-30,Salt Lake City,Tuesday,January,474764.82899999997
155,156,Science Book,Books,302.73,3.4,454,905,0.46,921,2023-12-05,St. Louis,Tuesday,December,150559.7382
156,157,Biography,Books,216.8,2.4,1386,704,0.04,1315,2023-09-04,Baltimore,Monday,September,273688.32
157,158,Novel,Books,200.75,2.2,1136,186,0.15,1250,2023-08-07,Tucson,Monday,August,213296.875
158,159,Biography,Books,204.36,4.8,4501,68,0.24,1785,2024-05-07,Baltimore,Tuesday,May,277234.776
159,160,Science Book,Books,138.51,3.4,3920,957,0.48,481,2023-11-24,Provo,Friday,November,34644.1212
160,161,Board Game,Toys & Games,242.38,2.4,2343,16,0.21,60,2024-02-29,Queens,Thursday,February,11488.812
161,162,Board Game,Toys & Games,235.24,1.3,3569,228,0.0,1458,2024-03-02,Milwaukee,Saturday,March,342979.92000000004
162,163,Board Game,Toys & Games,60.52,2.3,4090,816,0.07,329,2024-04-16,Denver,Tuesday,April,18517.3044
163,164,Puzzle,Toys & Games,265.44,1.3,3663,215,0.38,660,2024-03-23,Cape Coral,Saturday,March,108618.048
164,165,Puzzle,Toys & Games,364.81,3.5,3726,570,0.49,1900,2024-05-17,Tampa,Friday,May,353500.89
165,166,Puzzle,Toys & Games,31.64,3.4,400,918,0.28,1109,2023-10-06,Dayton,Friday,October,25263.907199999998
166,167,Puzzle,Toys & Games,26.63,3.8,4232,882,0.46,1521,2023-08-02,Atlanta,Wednesday,August,21872.2842
167,168,Puzzle,Toys & Games,399.72,4.0,2419,934,0.23,1466,2024-03-01,Mission Viejo,Friday,March,451211.9304
168,169,Action Figure,Toys & Games,328.58,2.5,2667,187,0.24,130,2023-08-24,Harrisburg,Thursday,August,32463.703999999998
169,170,Puzzle,Toys & Games,176.54,3.9,4459,38,0.16,496,2024-06-08,Harrisburg,Saturday,June,73553.6256
170,171,Action Figure,Toys & Games,334.21,4.0,4111,492,0.31,893,2023-08-06,Riverside,Sunday,August,205930.1757
171,172,Puzzle,Toys & Games,436.35,1.1,4854,780,0.26,1439,2024-03-08,Boston,Friday,March,464651.661
172,173,Puzzle,Toys & Games,44.31,1.0,4124,957,0.04,317,2023-10-11,Milwaukee,Wednesday,October,13484.419200000002
173,174,Toy Car,Toys & Games,317.48,4.5,1262,376,0.38,920,2023-06-19,El Paso,Monday,June,181090.592
174,175,Toy Car,Toys & Games,371.42,2.0,2050,428,0.18,1693,2023-07-24,Mesa,Monday,July,515627.52920000005
175,176,Board Game,Toys & Games,124.47,1.2,704,948,0.49,584,2023-08-12,Baltimore,Saturday,August,37072.1448
176,177,Action Figure,Toys & Games,343.03,1.9,2041,804,0.39,938,2023-11-27,Raleigh,Monday,November,196274.90539999996
177,178,Puzzle,Toys & Games,440.77,4.8,10,61,0.31,1176,2023-11-26,Nashville,Sunday,November,357658.40880000003
178,179,Toy Car,Toys & Games,41.84,2.6,884,242,0.26,1353,2024-02-26,Tulsa,Monday,February,41891.0448
179,180,Board Game,Toys & Games,198.2,1.1,2553,258,0.41,1540,2023-09-25,Akron,Monday,September,180084.52
180,181,Board Game,Toys & Games,484.86,4.5,3170,19,0.5,1596,2023-12-17,Houston,Sunday,December,386918.28
181,182,Board Game,Toys & Games,351.05,1.6,4255,738,0.11,1143,2024-03-15,New Orleans,Friday,March,357112.6335
182,183,Action Figure,Toys & Games,448.51,4.4,1290,616,0.2,634,2024-05-14,Albuquerque,Tuesday,May,227484.272
183,184,Action Figure,Toys & Games,31.74,4.4,4265,520,0.16,1560,2023-09-25,Miami,Monday,September,41592.096
184,185,Puzzle,Toys & Games,52.62,2.6,974,37,0.13,1924,2023-12-19,Miami,Tuesday,December,88079.56559999999
185,186,Board Game,Toys & Games,270.98,4.8,1711,972,0.45,972,2024-03-23,Jacksonville,Saturday,March,144865.908
186,187,Board Game,Toys & Games,252.62,2.9,2396,114,0.41,1591,2024-05-03,Buffalo,Friday,May,237131.86780000004
187,188,Board Game,Toys & Games,276.45,4.5,1312,261,0.26,335,2023-12-27,Boise,Wednesday,December,68531.95499999999
188,189,Toy Car,Toys & Games,426.79,4.5,1704,780,0.42,1368,2023-12-14,San Francisco,Thursday,December,338632.2576
189,190,Board Game,Toys & Games,61.86,3.8,4795,6,0.44,556,2023-08-03,Charlotte,Thursday,August,19260.7296
190,191,Action Figure,Toys & Games,24.33,4.3,2719,362,0.11,1574,2024-03-22,Virginia Beach,Friday,March,34082.9238
191,192,Toy Car,Toys & Games,282.53,4.0,1547,294,0.1,1548,2024-04-27,Providence,Saturday,April,393620.796
192,193,Puzzle,Toys & Games,490.78,3.5,4795,447,0.27,674,2023-07-22,Ogden,Saturday,July,241473.57559999998
193,194,Puzzle,Toys & Games,382.9,3.2,1247,993,0.17,571,2023-07-13,Allentown,Thursday,July,181467.797
194,195,Board Game,Toys & Games,379.31,4.2,1887,483,0.03,730,2023-12-03,New Haven,Sunday,December,268589.411
195,196,Action Figure,Toys & Games,387.78,3.8,885,704,0.03,1143,2023-11-15,Albany,Wednesday,November,429935.5638
196,197,Board Game,Toys & Games,495.17,3.7,4811,675,0.32,947,2024-06-05,Detroit,Wednesday,June,318869.6732
197,198,Action Figure,Toys & Games,20.84,2.3,3999,946,0.13,1561,2023-10-30,Albany,Monday,October,28302.1788
198,199,Action Figure,Toys & Games,472.71,1.4,38,270,0.4,156,2024-03-29,Albuquerque,Friday,March,44245.655999999995
199,200,Toy Car,Toys & Games,421.57,4.1,3155,21,0.07,1730,2023-07-11,Cincinnati,Tuesday,July,678263.973
200,201,Fish Oil,Vitamins and supplements,84.02,2.7,4116,302,0.21,1978,2024-03-20,Spokane,Wednesday,March,131291.33239999998
201,202,Fish Oil,Vitamins and supplements,382.45,2.8,4665,891,0.36,1185,2024-01-01,El Paso,Monday,January,290050.08
202,203,Protein Powder,Vitamins and supplements,435.38,3.9,1809,270,0.24,1562,2024-04-01,Columbus,Monday,April,516848.3056
203,204,Protein Powder,Vitamins and supplements,100.91,4.5,3380,519,0.39,1709,2024-04-23,New York,Tuesday,April,105197.66589999999
204,205,Protein Powder,Vitamins and supplements,18.75,4.2,692,535,0.46,898,2024-04-27,Cleveland,Saturday,April,9092.25
205,206,Vitamin D,Vitamins and supplements,245.95,1.5,3344,893,0.34,1763,2024-06-03,McAllen,Monday,June,286182.501
206,207,Fish Oil,Vitamins and supplements,120.51,1.6,116,385,0.4,394,2024-04-09,Knoxville,Tuesday,April,28488.564
207,208,Multivitamin,Vitamins and supplements,83.29,2.9,2013,319,0.2,1518,2024-03-09,Spokane,Saturday,March,101147.376
208,209,Fish Oil,Vitamins and supplements,152.91,3.8,2043,101,0.45,778,2023-11-11,Columbus,Saturday,November,65430.189
209,210,Vitamin D,Vitamins and supplements,61.42,2.0,2936,45,0.07,591,2023-08-07,San Diego,Monday,August,33758.274600000004
210,211,Fish Oil,Vitamins and supplements,113.07,2.4,935,927,0.47,1888,2024-06-10,Charleston,Monday,June,113142.36480000001
211,212,Multivitamin,Vitamins and supplements,53.05,2.4,917,102,0.07,870,2024-03-14,Milwaukee,Thursday,March,42922.755
212,213,Fish Oil,Vitamins and supplements,349.67,4.3,105,886,0.34,1895,2023-07-31,San Francisco,Monday,July,437332.269
213,214,Vitamin D,Vitamins and supplements,449.15,3.4,3144,358,0.31,552,2023-11-21,Detroit,Tuesday,November,171072.252
214,215,Protein Powder,Vitamins and supplements,474.2,3.5,1107,317,0.31,382,2024-06-05,Wichita,Wednesday,June,124989.636
215,216,Vitamin D,Vitamins and supplements,448.46,3.2,3385,21,0.23,514,2024-02-06,New Haven,Tuesday,February,177491.49879999997
216,217,Multivitamin,Vitamins and supplements,90.36,2.8,2134,523,0.08,1324,2023-10-13,McAllen,Friday,October,110065.70880000001
217,218,Fish Oil,Vitamins and supplements,171.22,2.9,4780,903,0.44,308,2023-12-12,Sacramento,Tuesday,December,29532.0256
218,219,Protein Powder,Vitamins and supplements,254.12,3.2,661,548,0.5,872,2024-04-14,Charleston,Sunday,April,110796.32
219,220,Vitamin D,Vitamins and supplements,49.95,2.6,4540,92,0.21,1230,2023-06-25,Spokane,Sunday,June,48536.415
220,221,Vitamin D,Vitamins and supplements,236.69,4.5,158,953,0.37,403,2023-08-24,Akron,Thursday,August,60093.2241
221,222,Protein Powder,Vitamins and supplements,370.32,4.1,955,151,0.27,946,2024-03-08,Atlanta,Friday,March,255735.5856
222,223,Multivitamin,Vitamins and supplements,224.92,3.9,3811,577,0.3,931,2023-09-24,Queens,Sunday,September,146580.364
223,224,Vitamin D,Vitamins and supplements,145.65,3.4,1269,636,0.11,1260,2024-05-25,Denver,Saturday,May,163331.91
224,225,Protein Powder,Vitamins and supplements,419.64,1.9,4889,519,0.2,477,2024-03-17,Baltimore,Sunday,March,160134.62399999998
225,226,Fish Oil,Vitamins and supplements,126.4,4.9,374,292,0.43,1004,2024-05-02,Columbus,Thursday,May,72336.192
226,227,Fish Oil,Vitamins and supplements,57.72,2.6,13,503,0.29,1107,2024-02-03,New York,Saturday,February,45366.1884
